wavelength,B,G,R
804,0.44993584751259436,0.49825977723572257,0.5979499683780547
805,0.45672686404537804,0.49849774945606934,0.5951190579939268
806,0.4651456978453378,0.4986371979202389,0.5920679267825796
807,0.4725968358971058,0.49873723086169897,0.5888344524431578
808,0.4782865223447178,0.4988478708610617,0.5854972237631371
809,0.4836143512097505,0.49895114985772676,0.5821353907307742
810,0.48935884799703044,0.4989982935650449,0.5788208278068165
811,0.4948901656734453,0.4989403751117967,0.5755693371287973
812,0.4994341734053725,0.4987284826695563,0.5723706592887979
813,0.5027460375477031,0.49833341074523285,0.5692143906541793
814,0.5051204463084572,0.49778442771383613,0.566091634835458
815,0.5068763613269066,0.49712159730450267,0.563002110596938
816,0.508332384220783,0.496384983246369,0.5599485926448197
817,0.5097092447292584,0.4956141423365606,0.5569338592981942
818,0.5109976362856264,0.4948296738296773,0.5539601445352704
819,0.5121552338303913,0.4940279754600205,0.5510273461881547
820,0.5131397123040567,0.4932038695871385,0.5481347355041756
821,0.5139097354901476,0.49235217857057983,0.5452815825849343
822,0.5144487120686265,0.49146861985608,0.5424632155396465
823,0.5147659614482547,0.4905577310411227,0.5396621961808936
824,0.5148720252022156,0.48962906794694144,0.5368585066243443
825,0.514777444903694,0.4886922444281191,0.5340321875700051
826,0.5144918893022384,0.487756874319274,0.5311837673061849
827,0.5140182774995753,0.48683010981808544,0.5283642795882967
828,0.5133563823185988,0.48590984369810336,0.525632402682523
829,0.5125059589540667,0.484991792004081,0.5230468148550462
830,0.5114667651281223,0.48407167078077157,0.5206539153382178
831,0.5102427348045613,0.483145265255172,0.5184267950522486
832,0.50885049358538,0.48221268812244245,0.5163114549023813
833,0.5073090691370687,0.48128086317877083,0.5142538524227146
834,0.5056374891261173,0.4803573123905617,0.5122000314638776
835,0.5038552161387885,0.47944955772421927,0.5101204816225298
836,0.5019985094803379,0.47856452471177946,0.5080436156303075
837,0.5001253841114504,0.4777013348101983,0.5060062359546315
838,0.4982953025522072,0.4768536278191197,0.5040451450629215
839,0.49656772732268933,0.4760149298322623,0.5021956995555003
840,0.4949953570518263,0.47517876694334465,0.5004582222755464
841,0.4935636515046921,0.47434077764346444,0.4987969846227322
842,0.4922195506861123,0.4735066716725241,0.49717490525210084
843,0.490909539446798,0.4726851569136185,0.4955695212443339
844,0.4895801027249763,0.47188494175402035,0.4939793653986953
845,0.4881905417395953,0.4711147139328307,0.49240459532302555
846,0.48674853452232664,0.47038062203986286,0.49084536862516526
847,0.48527317147840215,0.4696838612045682,0.489301842912955
848,0.48378354301305343,0.4690250543452808,0.4877741757942352
849,0.48229860671294905,0.4684048243803347,0.4862625248768466
850,0.48082903789762305,0.46782290810201266,0.4847670477686297
851,0.4793724909966018,0.46726307903440745,0.483287902077425
852,0.47792547865280927,0.46669527324103943,0.48182524541107313
853,0.47648451350916954,0.4660889685447791,0.4803792353774146
854,0.4750460370674257,0.4654136427684969,0.4789500295842901
855,0.47360556701229056,0.46464260817888287,0.47753778563954014
856,0.4721579755805341,0.4637725674693339,0.4761426611510051
857,0.47069812179522863,0.46280904193130096,0.4747648137265258
858,0.46922086467944635,0.4617575690375032,0.4734044009739427
859,0.4677238114139361,0.46062368846312335,0.47206065698906
860,0.4662175217536235,0.4594136701975482,0.4707159676076253
861,0.4647163679185832,0.45813556724290094,0.46933800040717677
862,0.46323472265814436,0.4567976996064297,0.4678939278945964
863,0.46178685555632615,0.4554083872953822,0.46635092257676636
864,0.4603750576810428,0.4539756230633578,0.4646761613437389
865,0.4589786225601686,0.4524989662776466,0.4628481335260408
866,0.45757423827112015,0.4509690062419095,0.4608811244685511
867,0.4561385928913142,0.4493758975426091,0.45879648291789193
868,0.4546496850822544,0.447709794766208,0.45661555762068506
869,0.45310833456917493,0.4459625885470525,0.4543596973235524
870,0.4515347309685969,0.44413962073074464,0.4520502507731161
871,0.4499496784244031,0.4422525137965061,0.44970856671599807
872,0.4483739810804759,0.4403129256627133,0.44735599389882014
873,0.4468248756010059,0.4383325086462132,0.44501388106820433
874,0.4452985584578975,0.43631443817743787,0.4427035769707726
875,0.44378353933686765,0.4342363540599255,0.440446430353147
876,0.4422683165756517,0.4320711070866255,0.4382637899619493
877,0.44074140556384256,0.4297915480504872,0.4361770045438016
878,0.4391960110967011,0.4273713669182041,0.4342074228453259
879,0.4376363851785096,0.42481572612833784,0.4323752551216097
880,0.436068369573599,0.42217001862224335,0.43065248554436636
881,0.4344978060462999,0.419482261284824,0.42894605399675806
882,0.43292962117108374,0.41680045795652526,0.42715830357306356
