wv,Eu,Er,Ho,Tb,Sm,Dy,Tm
256.65,1.06E-05,1.25E-05,7.70E-06,-1.40E-05,-1.92E-05,6.91E-05,-5.66E-05
256.85,9.92E-06,8.66E-06,1.63E-05,-8.22E-06,-4.07E-05,6.77E-05,-6.39E-05
257.06,1.24E-06,1.20E-05,1.69E-05,-1.19E-05,-4.18E-05,5.89E-05,-6.32E-05
257.27,4.67E-06,1.47E-05,1.99E-05,-1.34E-05,-2.05E-05,4.19E-05,-6.31E-05
257.47,4.76E-06,1.53E-05,2.03E-05,-1.15E-05,7.71E-07,2.49E-05,-5.23E-05
257.68,4.15E-06,7.12E-06,1.49E-05,-2.21E-05,2.21E-05,7.93E-06,-6.51E-05
257.88,3.45E-06,1.26E-05,1.19E-05,-2.65E-05,4.40E-06,9.81E-06,-6.68E-05
258.09,6.33E-06,1.11E-05,2.56E-06,-3.36E-05,-2.50E-05,1.74E-05,-6.66E-05
258.3,6.59E-06,1.12E-05,-1.51E-05,-3.63E-05,-5.44E-05,2.49E-05,-5.87E-06
258.5,7.18E-06,7.36E-06,-1.12E-05,-3.48E-05,-8.14E-05,3.15E-05,-7.76E-06
258.71,1.13E-05,4.50E-06,-1.68E-05,-4.21E-05,-7.23E-05,2.31E-05,-9.88E-06
258.92,9.44E-06,1.30E-05,-2.13E-05,-3.83E-05,-6.31E-05,1.48E-05,-6.62E-06
259.12,1.21E-05,1.34E-05,-2.09E-05,-3.10E-05,-5.39E-05,6.39E-06,-5.62E-06
259.33,1.15E-05,9.70E-06,-2.57E-05,-3.63E-05,-4.90E-05,-4.38E-07,-4.21E-06
259.54,7.64E-06,5.30E-07,-3.20E-05,-3.55E-05,-5.17E-05,-4.49E-06,-3.80E-06
259.74,3.94E-06,7.08E-06,-3.03E-05,-2.54E-05,-5.44E-05,-8.53E-06,2.15E-05
259.95,5.50E-06,6.21E-06,-3.15E-05,-2.13E-05,-5.71E-05,-1.26E-05,2.46E-05
260.16,3.76E-06,8.38E-06,-2.84E-05,-1.74E-05,-4.45E-05,-1.44E-05,2.26E-05
260.37,3.71E-06,4.99E-06,-3.11E-05,-2.04E-05,-2.37E-05,-1.49E-05,2.49E-05
260.57,3.24E-06,8.53E-06,-3.15E-05,-1.85E-05,-2.92E-06,-1.54E-05,2.30E-05
260.78,-5.07E-06,1.27E-05,-2.75E-05,-1.59E-05,1.79E-05,-1.60E-05,2.28E-05
260.99,-7.18E-06,3.41E-06,-2.85E-05,-2.51E-05,2.00E-05,-9.36E-06,2.22E-05
